1.四则运算题目1    1 - 1 = 
2.四则运算题目2    4 - 3 = 
3.四则运算题目3    3 / 3 = 
4.四则运算题目4    3 + 1 = 
5.四则运算题目5    4 / 8 + 4 / 8 = 
6.四则运算题目6    7 + 0 - 7 = 
7.四则运算题目7    7 - 2 + 9 = 
8.四则运算题目8    7 - 3 + 3 = 
9.四则运算题目9    0 + 0 + 6 = 
10.四则运算题目10    8 * 5 / 1 + 1 = 
11.四则运算题目11    1 + 1 = 
12.四则运算题目12    3 + 5 / 4 = 
13.四则运算题目13    7 * 1 = 
14.四则运算题目14    8 * 6 = 
15.四则运算题目15    5 / 4 = 
16.四则运算题目16    6 + 6 + 0 = 
17.四则运算题目17    0 * 6 + 3 - 3 = 
18.四则运算题目18    6 * 4 = 
19.四则运算题目19    9 / 9 / 1 = 
20.四则运算题目20    7 + 9 / 5 = 
21.四则运算题目21    2 / 2 = 
22.四则运算题目22    7 + 8 - 8 - 7 = 
23.四则运算题目23    1 + 9 * 8 = 
24.四则运算题目24    9 * 4 / 7 = 
25.四则运算题目25    7 - 7 / 7 = 
26.四则运算题目26    4 * 8 = 
27.四则运算题目27    9 / 4 = 
28.四则运算题目28    6 + 4 = 
29.四则运算题目29    9 - 1 * 5 = 
30.四则运算题目30    6 * 6 * 6 * 2 = 
31.四则运算题目31    6 / 2 + 2 + 2 = 
32.四则运算题目32    0 / 1 * 0 = 
33.四则运算题目33    4 / 9 = 
34.四则运算题目34    3 * 4 / 4 = 
35.四则运算题目35    8 + 8 + 8 * 9 = 
36.四则运算题目36    3 / 6 = 
37.四则运算题目37    7 - 5 + 6 = 
38.四则运算题目38    5 - 5 + 5 - 5 = 
39.四则运算题目39    2 + 9 / 3 = 
40.四则运算题目40    7 + 9 - 3 * 5 = 
41.四则运算题目41    8 + 8 = 
42.四则运算题目42    3 + 5 = 
43.四则运算题目43    5 * 7 = 
44.四则运算题目44    4 * 9 + 9 + 2 = 
45.四则运算题目45    4 / 1 + 1 + 4 = 
46.四则运算题目46    8 * 2 + 8 = 
47.四则运算题目47    0 + 9 = 
48.四则运算题目48    1 + 1 + 1 = 
49.四则运算题目49    4 + 2 - 2 - 2 = 
50.四则运算题目50    5 / 9 * 9 = 
51.四则运算题目51    5 / 6 = 
